,value
peak_date,2025-04-11 00:00:00
trough_date,2025-07-15 00:00:00
max_drawdown,-0.6424578229053843
n_obs,64
market_beta,-0.5737263425554264
beta_std_error_HC3,0.5761208473126812
beta_t_stat,-0.9958437456856075
beta_p_value,0.3193260714975128
r_squared,0.02814066211753241
