,value
alpha_daily,0.0009010561292154044
alpha_annualized_simple,0.2270661445622819
market_beta,-0.4919435119459832
beta_std_error_HC3,0.24571059080058913
beta_t_stat,-2.0021257949976965
beta_p_value,0.04527120389563778
r_squared,0.027472576489931066
n_obs,754.0
