,value
initial_capital,100000.0
final_equity,137381.18547494398
total_return,0.3738118547494398
max_drawdown,-0.47832363058295346
n_trades,224.0
win_rate,0.4955357142857143
average_trade_return,0.09837836838707763
median_trade_return,-0.02002548959387531
max_concurrent_positions,28.0
